contractor_id,contractor_name,project_count,avg_completion_time,quality_rating,cost_efficiency,reliability_score,on_time_delivery,customer_satisfaction
1,ABC Construction,45,18.5,4.2,0.85,0.88,0.92,4.3
2,XYZ Builders,32,22.3,3.8,0.78,0.82,0.85,3.9
3,PQR Infrastructure,58,16.2,4.5,0.92,0.91,0.95,4.6
4,LMN Services,28,20.1,4.0,0.80,0.85,0.88,4.1
5,DEF Contractors,41,19.8,4.3,0.87,0.89,0.90,4.4
6,GHI Builders,35,21.5,3.9,0.79,0.83,0.86,4.0
7,JKL Construction,52,17.8,4.4,0.89,0.90,0.93,4.5
8,MNO Services,25,23.2,3.7,0.76,0.80,0.82,3.8
9,STU Infrastructure,48,18.9,4.1,0.84,0.87,0.91,4.2
10,VWX Contractors,38,20.5,4.0,0.81,0.86,0.89,4.1
